brand;model;year;km;power;price
RENAULT;ZOE;Zoe;2015;37480;Courant Électrique;9990
RENAULT;LAGUNA;Laguna 2.0 dCi 175;2015;121600;Diesel;10990
BMW;SERIE 2;Active Tourer 218d 150 ch;2015;49819;Diesel;18900
RENAULT;ESPACE;Espace dCi 160 Energy Twin Turbo;2015;51800;Diesel;18990
RENAULT;KADJAR;Kadjar dCi 110 Energy eco² EDC;2015;84019;Diesel;13990
RENAULT;KANGOO EXPRESS;KANGOO EXPRESS L1 1.5 DCI 75;2015;77621;Diesel;7990
RENAULT;KANGOO EXPRESS;KANGOO EXPRESS L1 1.5 DCI 75;2015;61102;Diesel;8990
RENAULT;TWINGO;Twingo III 0.9 TCe 90 Energy;2015;39080;Essence Sans Plomb;10500
RENAULT;ZOE;Zoe;2015;37 466;Courant Électrique;9490
RENAULT;KOLEOS;Koleos 2.0 dCi 150;2015;62731;Diesel;15990
RENAULT;SCENIC;Scenic dCi 110 Energy eco2;2015;94111;Diesel;11500
RENAULT;TALISMAN;Talisman dCi 130 Energy;2015;24416;Diesel;19490
NISSAN;QASHQAI;Qashqai 1.6 dCi 130 Stop/Start;2015;75120;Diesel;15760
NISSAN;QASHQAI;Qashqai 1.2 DIG-T 115;2015;58998;Essence Sans Plomb;15989
RENAULT;KOLEOS;Koleos 2.0 dCi 175;2015;67263;Diesel;15990
DACIA;SANDERO;Sandero TCe 90 E6;2015;65142;Essence Sans Plomb;8990
RENAULT;TWINGO;Twingo III 1.0 SCe 70 E6;2015;28560;Essence Sans Plomb;7990
RENAULT;TALISMAN;Talisman dCi 130 Energy;2015;65724;Diesel;14990
RENAULT;CAPTUR;Captur dCi 90 Energy;2015;47000;Diesel;12190
RENAULT;ZOE;Zoe;2015;52688;Courant Électrique;7900
RENAULT;KADJAR;Kadjar dCi 110 Energy eco²;2015;54525;Diesel;15979
LEXUS;NX;NX 300h 4WD;2015;39 816;Essence / Courant Électrique;31980
RENAULT;CAPTUR;Captur TCe 90 Energy E6;2015;50339;Essence Sans Plomb;10550
RENAULT;KADJAR;Kadjar dCi 110 Energy eco²;2015;75787;Diesel;13990
RENAULT;CAPTUR;Captur dCi 90 Energy eco² E6;2015;78573;Diesel;8490
RENAULT;ZOE;Zoe;2015;38 096;Courant Électrique;8400
